Date/Time,THERMAL ZONE 1:RUN PERIOD 1:ILLUMINANCE MAP 1 at 1.10m Illuminance [lux] (Hourly),RefPt1=(15.00:5.00:1.10),,,
 01/01 08:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;6.33)=,26,31,37,48,67,100,159,290,616,1178
(11.00;7.22)=,26,30,37,48,65,95,149,266,561,1105
(11.00;8.11)=,26,30,36,45,60,85,129,218,426,744
(11.00;9.00)=,25,29,34,42,54,73,103,157,251,246
 01/02 13:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,16,18,20,23,27,34,43,57,76,57
(11.00;1.89)=,17,19,22,27,33,44,62,97,177,284
(11.00;2.78)=,18,21,25,30,39,55,84,148,322,726
(11.00;3.67)=,19,22,27,34,45,66,104,192,429,915
(11.00;4.56)=,20,23,28,36,50,74,119,220,481,950
(11.00;5.44)=,20,24,29,38,52,78,126,232,497,954
(11.00;6.33)=,21,24,30,38,53,78,125,228,488,946
(11.00;7.22)=,21,24,29,37,50,73,115,206,440,882
(11.00;8.11)=,20,23,28,35,46,65,98,165,324,568
(11.00;9.00)=,19,22,26,32,41,55,77,115,182,171
 01/02 14:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,8,9,10,12,14,17,22,30,40,31
(11.00;1.89)=,8,10,11,13,17,22,31,49,90,146
(11.00;2.78)=,9,10,12,15,20,27,41,73,156,343
(11.00;3.67)=,9,11,13,16,22,32,50,92,201,418
(11.00;4.56)=,10,11,14,17,24,35,56,103,222,432
(11.00;5.44)=,10,11,14,18,25,37,58,107,227,433
(11.00;6.33)=,10,11,14,18,24,36,57,103,221,429
(11.00;7.22)=,10,11,13,17,23,33,52,92,195,394
(11.00;8.11)=,9,11,13,16,21,29,43,71,138,239
(11.00;9.00)=,9,10,12,14,18,24,33,49,75,69
 01/02 15:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,14,15,18,21,26,34,42,57,75,57
(11.00;1.89)=,14,17,20,24,31,43,58,89,149,220
(11.00;2.78)=,15,18,21,27,36,51,73,121,232,436
(11.00;3.67)=,16,18,22,29,39,58,84,145,284,520
(11.00;4.56)=,16,19,23,30,41,61,91,158,307,538
(11.00;5.44)=,16,19,23,30,41,61,92,160,311,540
(11.00;6.33)=,15,18,22,29,39,58,86,151,296,530
(11.00;7.22)=,15,18,21,27,36,52,76,128,250,470
(11.00;8.11)=,14,17,20,24,32,44,61,97,171,268
(11.00;9.00)=,14,15,18,22,27,35,46,65,94,84
