Date/Time,THERMAL ZONE 1:RUN PERIOD 1:ILLUMINANCE MAP 1 at 1.10m Illuminance [lux] (Hourly),RefPt1=(15.00:5.00:1.10),,,
 01/01 08:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;8.11)=,13,14,491,494,498,505,514,531,561,591
(11.00;9.00)=,13,14,490,493,496,501,507,516,525,32
 01/17 09:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,68,69,70,72,75,79,83,90,97,86
(11.00;1.89)=,69,70,73,76,81,88,98,118,154,190
(11.00;2.78)=,70,72,75,80,88,101,120,166,278,3056
(11.00;3.67)=,72,74,79,85,96,117,149,229,2935,7719
(11.00;4.56)=,73,77,82,91,106,134,2690,2793,7481,7739
(11.00;5.44)=,75,79,86,96,115,2660,2711,2818,7498,7740
(11.00;6.33)=,76,81,89,101,2632,2668,2718,2822,7495,7736
(11.00;7.22)=,77,83,2602,2614,2634,2668,2715,2810,7470,7708
(11.00;8.11)=,78,84,2602,2614,2632,2661,2701,2780,7399,7549
(11.00;9.00)=,79,84,2601,2611,2627,2649,2678,2727,7261,4669
 01/17 10:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,53,54,55,57,60,65,69,77,85,74
(11.00;1.89)=,54,55,57,60,65,72,82,101,139,178
(11.00;2.78)=,55,57,60,64,71,82,100,141,242,494
(11.00;3.67)=,56,58,62,67,77,94,121,188,365,14555
(11.00;4.56)=,57,60,64,71,83,105,142,230,6836,7146
(11.00;5.44)=,58,61,66,74,89,114,157,255,6859,7148
(11.00;6.33)=,59,62,68,77,92,120,165,261,6858,7142
(11.00;7.22)=,59,63,69,78,93,120,163,251,6835,7112
(11.00;8.11)=,60,63,69,78,92,116,153,226,6770,6960
(11.00;9.00)=,60,63,68,76,88,107,135,184,6657,6621
 01/17 11:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,27,28,29,31,34,37,41,48,57,48
(11.00;1.89)=,28,29,31,33,37,43,51,67,98,133
(11.00;2.78)=,28,30,32,35,41,50,63,93,167,339
(11.00;3.67)=,29,31,33,38,44,56,76,121,237,8363
(11.00;4.56)=,30,32,35,40,48,63,87,143,282,520
(11.00;5.44)=,30,32,36,41,50,67,94,156,300,523
(11.00;6.33)=,30,33,36,42,52,69,97,159,299,517
(11.00;7.22)=,31,33,37,42,52,68,94,151,279,489
(11.00;8.11)=,31,33,36,42,50,64,87,132,232,372
(11.00;9.00)=,30,33,36,40,47,59,76,106,159,160
 01/17 12:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,14,15,16,18,21,25,29,36,45,37
(11.00;1.89)=,15,16,17,20,23,29,37,53,84,118
(11.00;2.78)=,15,16,18,21,26,35,47,74,137,272
(11.00;3.67)=,15,17,19,23,29,40,56,93,185,367
(11.00;4.56)=,16,18,20,24,31,43,63,107,212,390
(11.00;5.44)=,16,18,21,25,32,46,66,114,222,393
(11.00;6.33)=,16,18,21,25,33,46,66,113,219,387
(11.00;7.22)=,16,18,21,25,32,44,63,104,198,357
(11.00;8.11)=,16,18,20,24,30,40,56,88,156,252
(11.00;9.00)=,16,17,19,23,28,35,47,67,102,103
 01/17 13:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,13,14,15,17,20,25,30,38,49,39
(11.00;1.89)=,13,14,16,19,23,30,38,56,90,127
(11.00;2.78)=,14,15,17,20,26,35,47,75,138,260
(11.00;3.67)=,14,15,18,22,28,39,55,92,175,328
(11.00;4.56)=,14,16,18,23,29,42,60,102,195,345
(11.00;5.44)=,14,16,19,23,30,42,61,105,201,347
(11.00;6.33)=,14,16,18,23,29,41,60,101,193,341
(11.00;7.22)=,14,15,18,22,28,38,54,90,169,306
(11.00;8.11)=,14,15,17,20,26,34,46,72,125,197
(11.00;9.00)=,13,15,16,19,23,29,38,53,78,76
 01/17 14:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,12,13,14,16,19,24,29,38,48,38
(11.00;1.89)=,12,13,15,18,22,29,37,55,88,125
(11.00;2.78)=,12,14,16,19,25,33,45,72,131,234
(11.00;3.67)=,13,14,17,20,26,37,52,85,159,281
(11.00;4.56)=,13,14,17,21,27,39,55,92,172,292
(11.00;5.44)=,13,14,17,21,27,38,55,93,174,293
(11.00;6.33)=,13,14,16,20,26,37,52,87,165,287
(11.00;7.22)=,12,14,16,19,24,33,46,75,139,252
(11.00;8.11)=,12,13,15,18,22,29,38,58,97,147
(11.00;9.00)=,11,13,14,16,19,24,30,41,57,53
 01/17 15:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,10,11,12,14,17,21,26,34,44,34
(11.00;1.89)=,10,11,13,16,20,26,34,51,81,115
(11.00;2.78)=,10,12,14,17,22,30,41,66,118,206
(11.00;3.67)=,11,12,14,18,23,33,46,77,140,239
(11.00;4.56)=,11,12,14,18,24,34,49,81,149,246
(11.00;5.44)=,11,12,14,18,24,34,48,81,149,246
(11.00;6.33)=,10,12,14,17,22,31,45,75,140,241
(11.00;7.22)=,10,11,13,16,20,28,38,62,115,208
(11.00;8.11)=,10,11,12,14,18,23,31,46,76,111
(11.00;9.00)=,9,10,11,13,15,19,23,31,42,36
 01/17 16:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,8,9,10,12,15,20,24,32,42,31
(11.00;1.89)=,8,10,11,14,18,24,32,49,80,114
(11.00;2.78)=,9,10,12,15,20,29,40,65,118,203
(11.00;3.67)=,9,10,13,16,22,32,45,75,138,230
(11.00;4.56)=,9,10,13,16,22,33,47,79,145,236
(11.00;5.44)=,9,10,12,16,22,32,46,78,144,236
(11.00;6.33)=,8,10,12,15,20,30,42,72,135,230
(11.00;7.22)=,8,9,11,14,18,26,36,59,109,198
(11.00;8.11)=,8,9,10,12,15,21,27,42,68,98
(11.00;9.00)=,7,8,9,11,13,16,20,26,35,28
 01/17 17:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,2,2,3,3,4,5,6,8,11,8
(11.00;1.89)=,2,2,3,4,5,6,9,13,22,31
(11.00;2.78)=,2,2,3,4,5,8,11,18,32,55
(11.00;3.67)=,2,3,3,4,6,8,12,20,37,62
(11.00;4.56)=,2,3,3,4,6,9,13,22,39,64
(11.00;5.44)=,2,3,3,4,6,9,12,21,39,64
(11.00;6.33)=,2,2,3,4,5,8,11,19,36,62
(11.00;7.22)=,2,2,3,3,5,7,9,16,29,53
(11.00;8.11)=,2,2,2,3,4,5,7,11,18,26
(11.00;9.00)=,2,2,2,3,3,4,5,7,9,7
Date/Time,THERMAL ZONE 1:RUN PERIOD 1:ILLUMINANCE MAP 1 at 1.10m Illuminance [lux] (Hourly),RefPt1=(15.00:5.00:1.10),,,
 01/18 08:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,11,12,13,13,15,17,19,22,26,21
(11.00;1.89)=,12,12,13,15,17,20,24,33,49,65
(11.00;2.78)=,12,13,14,16,19,24,31,48,86,657
(11.00;3.67)=,12,14,15,18,22,29,40,65,616,691
(11.00;4.56)=,13,14,16,19,24,33,542,573,629,696
(11.00;5.44)=,13,15,17,20,26,532,546,576,631,696
(11.00;6.33)=,14,15,17,21,522,533,546,574,627,693
(11.00;7.22)=,14,15,513,516,522,531,543,568,615,679
(11.00;8.11)=,14,16,512,516,521,529,538,557,589,619
(11.00;9.00)=,14,15,512,515,519,524,531,541,549,34
 01/18 09:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,70,72,73,76,79,83,88,96,104,91
(11.00;1.89)=,72,73,76,79,85,94,105,127,168,209
(11.00;2.78)=,73,76,79,84,93,108,130,181,308,3180
(11.00;3.67)=,75,78,83,90,103,126,162,253,3044,7957
(11.00;4.56)=,77,81,87,97,114,145,2767,2884,7689,7980
(11.00;5.44)=,78,83,91,103,124,2734,2791,2912,7709,7981
(11.00;6.33)=,80,85,94,108,2702,2742,2799,2916,7705,7976
(11.00;7.22)=,81,87,2667,2682,2704,2742,2795,2903,7677,7944
(11.00;8.11)=,82,89,2668,2681,2702,2735,2780,2869,7597,7765
(11.00;9.00)=,83,88,2667,2679,2696,2721,2754,2809,7441,4778
 01/18 10:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,53,54,56,58,61,65,69,76,84,74
(11.00;1.89)=,54,56,58,61,65,72,81,100,136,174
(11.00;2.78)=,55,57,60,64,70,82,99,139,237,482
(11.00;3.67)=,56,58,62,67,77,93,119,184,356,14759
(11.00;4.56)=,57,60,64,71,83,104,140,226,6922,7223
(11.00;5.44)=,58,61,66,74,88,113,155,249,6945,7225
(11.00;6.33)=,59,62,68,77,91,118,162,255,6944,7220
(11.00;7.22)=,59,63,69,78,93,119,160,246,6921,7190
(11.00;8.11)=,60,63,69,78,91,114,150,221,6859,7043
(11.00;9.00)=,60,63,68,76,88,106,133,181,6749,6713
 01/18 11:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,30,31,33,35,39,44,49,59,70,58
(11.00;1.89)=,31,32,35,38,43,51,62,84,125,172
(11.00;2.78)=,32,34,36,41,48,60,78,118,216,444
(11.00;3.67)=,32,35,38,44,53,69,94,155,308,8651
(11.00;4.56)=,33,36,40,46,57,77,109,184,367,682
(11.00;5.44)=,34,37,41,48,61,83,118,200,390,685
(11.00;6.33)=,34,37,42,50,62,85,122,203,388,678
(11.00;7.22)=,34,38,42,50,62,84,118,193,362,639
(11.00;8.11)=,34,37,42,49,60,79,108,168,298,484
(11.00;9.00)=,34,37,41,47,56,71,94,133,203,205
 01/18 12:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,24,26,30,34,40,49,60,78,99,78
(11.00;1.89)=,25,28,32,38,47,62,81,121,197,283
(11.00;2.78)=,27,30,35,43,55,76,106,176,342,713
(11.00;3.67)=,28,32,38,47,62,89,131,230,477,1002
(11.00;4.56)=,29,33,40,51,68,100,151,271,561,1074
(11.00;5.44)=,29,34,41,53,72,107,164,293,595,1083
(11.00;6.33)=,30,35,42,54,74,109,166,295,591,1070
(11.00;7.22)=,30,35,42,53,72,105,159,275,542,998
(11.00;8.11)=,30,34,41,52,68,97,142,233,434,724
(11.00;9.00)=,29,33,39,49,63,85,118,179,286,299
 01/18 13:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,21,23,26,30,37,46,57,76,100,76
(11.00;1.89)=,22,25,29,35,44,58,80,123,212,324
(11.00;2.78)=,23,27,32,39,51,72,105,179,367,780
(11.00;3.67)=,24,28,34,43,58,84,128,229,486,1001
(11.00;4.56)=,25,29,36,46,63,93,144,261,548,1050
(11.00;5.44)=,26,30,37,48,65,98,152,275,569,1057
(11.00;6.33)=,26,30,37,48,65,97,150,270,558,1045
(11.00;7.22)=,25,30,36,46,62,91,139,244,499,965
(11.00;8.11)=,25,29,35,43,57,81,119,197,373,633
(11.00;9.00)=,24,28,33,40,51,68,95,142,222,218
 01/18 14:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,19,21,24,28,35,44,54,73,94,73
(11.00;1.89)=,20,22,26,32,40,55,72,110,180,258
(11.00;2.78)=,20,23,28,35,46,65,90,148,275,507
(11.00;3.67)=,21,24,29,37,50,72,104,178,340,623
(11.00;4.56)=,21,25,30,39,52,77,113,194,373,651
(11.00;5.44)=,21,25,30,39,53,77,114,198,380,655
(11.00;6.33)=,21,24,29,37,51,74,109,188,363,642
(11.00;7.22)=,20,23,28,35,47,67,96,162,311,570
(11.00;8.11)=,20,22,26,32,42,58,80,126,220,343
(11.00;9.00)=,19,21,24,29,37,48,62,89,130,124
 01/18 15:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,11,13,14,17,20,26,32,42,54,41
(11.00;1.89)=,12,13,15,19,24,32,42,62,101,143
(11.00;2.78)=,12,14,16,20,26,37,51,82,147,257
(11.00;3.67)=,12,14,17,21,28,40,57,95,175,299
(11.00;4.56)=,12,14,17,22,29,42,60,101,186,308
(11.00;5.44)=,12,14,17,21,29,41,59,100,186,308
(11.00;6.33)=,12,14,16,20,27,38,55,93,174,301
(11.00;7.22)=,12,13,15,19,24,34,47,77,144,260
(11.00;8.11)=,11,12,14,17,21,28,38,57,94,139
(11.00;9.00)=,11,12,13,15,18,23,28,38,52,45
 01/18 16:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,8,9,10,12,15,20,24,32,42,31
(11.00;1.89)=,8,10,11,14,18,24,33,49,81,114
(11.00;2.78)=,9,10,12,15,20,29,40,65,118,203
(11.00;3.67)=,9,10,13,16,22,32,45,75,138,230
(11.00;4.56)=,9,10,13,16,22,33,47,80,145,236
(11.00;5.44)=,9,10,13,16,22,32,46,79,145,236
(11.00;6.33)=,8,10,12,15,20,30,42,72,135,230
(11.00;7.22)=,8,9,11,14,18,26,36,59,109,198
(11.00;8.11)=,8,9,10,12,16,21,28,42,68,98
(11.00;9.00)=,7,8,9,11,13,16,20,27,35,28
 01/18 17:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,2,2,3,3,4,6,7,10,12,9
(11.00;1.89)=,2,3,3,4,5,7,10,15,25,35
(11.00;2.78)=,2,3,3,4,6,9,12,20,36,62
(11.00;3.67)=,2,3,4,5,6,9,14,23,42,70
(11.00;4.56)=,2,3,4,5,7,10,14,24,44,72
(11.00;5.44)=,2,3,4,5,6,10,14,24,44,72
(11.00;6.33)=,2,3,3,4,6,9,13,22,41,70
(11.00;7.22)=,2,3,3,4,5,8,11,18,33,60
(11.00;8.11)=,2,2,3,3,4,6,8,12,20,29
(11.00;9.00)=,2,2,2,3,4,5,6,8,10,8
Date/Time,THERMAL ZONE 1:RUN PERIOD 1:ILLUMINANCE MAP 1 at 1.10m Illuminance [lux] (Hourly),RefPt1=(15.00:5.00:1.10),,,
 01/19 08:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,12,12,13,14,15,18,20,23,27,22
(11.00;1.89)=,12,13,14,15,17,21,25,34,51,68
(11.00;2.78)=,12,13,15,17,20,25,33,50,88,679
(11.00;3.67)=,13,14,16,18,22,30,41,67,638,713
(11.00;4.56)=,13,15,16,19,25,34,563,593,650,718
(11.00;5.44)=,14,15,17,21,27,552,566,596,652,718
(11.00;6.33)=,14,15,18,22,542,553,566,595,648,716
(11.00;7.22)=,14,16,533,536,542,551,563,588,635,700
(11.00;8.11)=,14,16,532,536,540,548,558,576,608,638
(11.00;9.00)=,14,16,532,534,538,544,550,560,569,34
 01/19 09:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,71,72,74,76,79,83,88,95,102,91
(11.00;1.89)=,72,74,76,79,85,93,103,125,164,203
(11.00;2.78)=,73,76,79,84,92,107,128,177,298,3199
(11.00;3.67)=,75,78,83,90,102,124,159,246,3069,8014
(11.00;4.56)=,77,80,86,96,112,143,2803,2915,7757,8036
(11.00;5.44)=,78,83,90,102,122,2771,2826,2942,7776,8037
(11.00;6.33)=,80,85,93,107,2741,2779,2834,2946,7772,8032
(11.00;7.22)=,81,87,2707,2721,2743,2779,2830,2933,7746,8002
(11.00;8.11)=,82,88,2708,2721,2741,2772,2816,2901,7669,7830
(11.00;9.00)=,82,88,2707,2718,2735,2759,2791,2844,7519,4819
 01/19 10:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,54,55,56,58,61,65,69,77,85,75
(11.00;1.89)=,54,56,58,61,65,73,82,101,137,176
(11.00;2.78)=,55,57,60,64,71,82,99,139,239,485
(11.00;3.67)=,56,59,62,68,77,94,120,186,359,14825
(11.00;4.56)=,57,60,65,71,83,105,140,227,6953,7257
(11.00;5.44)=,58,62,67,75,88,114,156,251,6976,7258
(11.00;6.33)=,59,63,68,77,92,119,163,257,6975,7253
(11.00;7.22)=,60,63,69,78,93,119,161,247,6952,7223
(11.00;8.11)=,60,64,69,78,92,115,151,222,6889,7075
(11.00;9.00)=,60,64,69,76,88,106,134,182,6778,6743
 01/19 11:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,29,30,31,33,36,40,45,53,62,53
(11.00;1.89)=,30,31,33,36,40,47,56,74,110,149
(11.00;2.78)=,30,32,34,38,44,54,69,104,188,384
(11.00;3.67)=,31,33,36,41,48,62,84,136,268,8692
(11.00;4.56)=,32,34,37,43,52,69,96,161,319,590
(11.00;5.44)=,32,35,39,45,55,74,105,176,339,592
(11.00;6.33)=,33,35,39,46,57,76,108,178,338,586
(11.00;7.22)=,33,35,40,46,57,75,105,169,315,554
(11.00;8.11)=,33,35,39,45,55,71,97,149,261,421
(11.00;9.00)=,33,35,38,44,52,65,84,118,179,180
 01/19 12:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,15,16,17,19,22,26,31,39,49,40
(11.00;1.89)=,15,17,18,21,25,32,40,57,90,127
(11.00;2.78)=,16,17,20,23,28,37,50,80,149,295
(11.00;3.67)=,16,18,21,25,31,43,60,101,200,398
(11.00;4.56)=,17,19,21,26,33,47,68,116,230,423
(11.00;5.44)=,17,19,22,27,35,49,72,123,241,426
(11.00;6.33)=,17,19,22,27,35,49,72,122,237,420
(11.00;7.22)=,17,19,22,27,34,47,68,113,215,388
(11.00;8.11)=,17,19,21,26,32,43,60,95,169,273
(11.00;9.00)=,17,18,21,24,30,38,50,72,110,111
 01/19 13:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,13,14,15,17,20,25,30,38,48,39
(11.00;1.89)=,13,14,16,19,23,30,38,56,89,126
(11.00;2.78)=,14,15,17,20,26,34,47,75,137,257
(11.00;3.67)=,14,15,18,22,28,39,54,91,174,325
(11.00;4.56)=,14,16,18,22,29,41,59,101,193,342
(11.00;5.44)=,14,16,19,23,30,42,61,104,199,344
(11.00;6.33)=,14,16,18,22,29,41,59,100,192,338
(11.00;7.22)=,14,15,18,22,28,38,54,89,167,303
(11.00;8.11)=,14,15,17,20,25,34,46,72,124,195
(11.00;9.00)=,13,15,16,19,23,29,38,53,77,75
 01/19 14:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,12,13,14,16,19,24,29,37,47,37
(11.00;1.89)=,12,13,15,18,22,28,37,54,87,122
(11.00;2.78)=,12,14,16,19,24,33,45,71,128,230
(11.00;3.67)=,13,14,16,20,26,36,51,84,156,276
(11.00;4.56)=,13,14,17,21,27,38,54,90,169,286
(11.00;5.44)=,13,14,17,20,27,38,54,91,171,288
(11.00;6.33)=,12,14,16,20,26,36,51,86,162,281
(11.00;7.22)=,12,14,16,19,24,33,45,73,137,247
(11.00;8.11)=,12,13,15,17,21,28,37,57,95,144
(11.00;9.00)=,11,12,14,16,19,24,30,40,56,52
 01/19 15:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,10,11,12,14,17,21,26,34,44,34
(11.00;1.89)=,10,11,13,16,20,26,34,50,81,115
(11.00;2.78)=,10,12,14,17,22,30,41,66,118,206
(11.00;3.67)=,11,12,14,18,23,33,46,76,140,238
(11.00;4.56)=,11,12,15,18,24,34,49,81,149,245
(11.00;5.44)=,11,12,14,18,24,34,48,81,149,246
(11.00;6.33)=,10,12,14,17,22,31,45,75,139,240
(11.00;7.22)=,10,11,13,16,20,28,38,62,115,207
(11.00;8.11)=,10,11,12,14,18,23,31,46,75,111
(11.00;9.00)=,9,10,11,13,15,19,23,31,42,36
 01/19 16:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,8,9,10,12,15,20,24,32,42,31
(11.00;1.89)=,8,10,11,14,18,24,33,49,81,114
(11.00;2.78)=,9,10,12,15,20,29,40,65,118,203
(11.00;3.67)=,9,10,13,16,22,32,45,75,138,230
(11.00;4.56)=,9,10,13,16,22,33,47,80,145,236
(11.00;5.44)=,9,10,13,16,22,32,46,79,145,236
(11.00;6.33)=,9,10,12,15,20,30,42,72,135,230
(11.00;7.22)=,8,9,11,14,18,26,36,59,109,198
(11.00;8.11)=,8,9,10,12,16,21,28,42,68,98
(11.00;9.00)=,7,8,9,11,13,16,20,27,35,28
 01/19 17:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,2,2,3,3,4,5,6,9,11,8
(11.00;1.89)=,2,2,3,4,5,6,9,13,22,31
(11.00;2.78)=,2,2,3,4,5,8,11,18,32,55
(11.00;3.67)=,2,3,3,4,6,8,12,20,37,62
(11.00;4.56)=,2,3,3,4,6,9,13,22,39,64
(11.00;5.44)=,2,3,3,4,6,9,12,21,39,64
(11.00;6.33)=,2,2,3,4,5,8,11,19,36,62
(11.00;7.22)=,2,2,3,4,5,7,9,16,29,53
(11.00;8.11)=,2,2,2,3,4,5,7,11,18,26
(11.00;9.00)=,2,2,2,3,3,4,5,7,9,7
Date/Time,THERMAL ZONE 1:RUN PERIOD 1:ILLUMINANCE MAP 1 at 1.10m Illuminance [lux] (Hourly),RefPt1=(15.00:5.00:1.10),,,
 01/20 08:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,12,12,13,14,15,17,19,22,26,21
(11.00;1.89)=,12,13,13,15,17,20,24,32,47,62
(11.00;2.78)=,12,13,14,16,19,24,30,46,80,684
(11.00;3.67)=,13,14,15,17,21,28,37,61,647,715
(11.00;4.56)=,13,14,16,19,23,32,580,607,658,719
(11.00;5.44)=,13,15,17,20,25,570,583,610,660,719
(11.00;6.33)=,14,15,17,21,562,571,583,608,656,717
(11.00;7.22)=,14,15,553,556,561,570,580,602,645,703
(11.00;8.11)=,14,15,553,556,560,567,575,592,621,648
(11.00;9.00)=,14,15,552,554,558,563,569,578,585,32
 01/20 09:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,71,72,74,76,78,82,87,93,100,89
(11.00;1.89)=,72,74,76,79,84,92,101,121,157,193
(11.00;2.78)=,73,76,79,83,91,104,123,169,280,3214
(11.00;3.67)=,75,78,82,89,100,120,152,232,3095,8097
(11.00;4.56)=,76,80,85,94,109,137,2850,2953,7860,8117
(11.00;5.44)=,78,82,89,99,118,2821,2871,2978,7877,8118
(11.00;6.33)=,79,84,92,104,2793,2828,2878,2982,7874,8114
(11.00;7.22)=,81,86,2762,2775,2795,2828,2875,2970,7850,8086
